Unnamed: 1,Austria,Belgium,Bulgaria,Croatia,Cyprus,Czech Republic,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Iceland,Ireland,Italy,Latvia,Lithuania,Luxembourg,Malta,Netherlands,Norway,Poland,Portugal,Romania,Slovakia,Slovenia,Spain,Sweden,Switzerland,United Kingdom,Belgium_rendements,Bulgaria_rendements,Croatia_rendements,Cyprus_rendements,Czech Republic_rendements,Denmark_rendements,Estonia_rendements,Finland_rendements,France_rendements,Germany_rendements,Greece_rendements,Hungary_rendements,Iceland_rendements,Ireland_rendements,Italy_rendements,Latvia_rendements,Lithuania_rendements,Luxembourg_rendements,Malta_rendements,Netherlands_rendements,Norway_rendements,Poland_rendements,Portugal_rendements,Romania_rendements,Slovakia_rendements,Slovenia_rendements,Spain_rendements,Sweden_rendements,Switzerland_rendements,United Kingdom_rendements
nat_2001,0.257,0.0858,0.224,0.205,0.156,0.0065,0.0325,0.452,0.505,0.251,0.159,0.265,0.135,0.00107,0.0116,0.259,0.453,0.239,0.227,0.0109,0.0109,0.311,0.0657,0.11,0.245,0.234,0.573,0.293,0.333,0.249,0.0141,0.00941176470588223,0.0181818181818183,0.0,0.0,0.08514190317195336,0.0,0.004444444444444473,-0.011741682974559686,0.0040000000000000036,0.0,0.0076045627376426506,0.0,0.009433962264151052,0.0,0.0077821011673151474,0.0022123893805310324,0.004201680672268893,0.0,0.0,-0.018018018018018056,0.0,0.0,0.0,0.0,0.0,0.0,0.0068728522336769515,-0.014792899408283988,0.0040322580645162365,0.0
nat_2002,0.258,0.0865,0.229,0.206,0.155,0.00702,0.0325,0.454,0.5,0.252,0.159,0.268,0.135,0.00107,0.0116,0.261,0.453,0.24,0.227,0.0109,0.0108,0.311,0.0657,0.11,0.246,0.235,0.573,0.296,0.329,0.251,0.0141,0.008158508158508049,0.022321428571428603,0.004878048780487809,-0.0064102564102563875,0.08000000000000007,0.0,0.004424778761061843,-0.00990099009900991,0.003984063745019917,0.0,0.01132075471698113,0.0,0.0,0.0,0.007722007722007707,0.0,0.004184100418409997,0.0,0.0,-0.00917431192660545,0.0,0.0,0.0,0.004081632653061273,0.004273504273504258,0.0,0.010238907849829282,-0.012012012012012074,0.008032128514056325,0.0
nat_2003,0.258,0.0873,0.233,0.206,0.155,0.00753,0.0325,0.456,0.494,0.253,0.159,0.27,0.135,0.00107,0.0116,0.264,0.454,0.242,0.227,0.0109,0.0107,0.311,0.0657,0.11,0.247,0.236,0.572,0.298,0.325,0.252,0.0141,0.009248554913294793,0.017467248908296984,0.0,0.0,0.07264957264957261,0.0,0.004405286343612369,-0.01200000000000001,0.003968253968253954,0.0,0.00746268656716409,0.0,0.0,0.0,0.011494252873563315,0.002207505518763808,0.008333333333333304,0.0,0.0,-0.009259259259259411,0.0,0.0,0.0,0.004065040650406582,0.004255319148936065,-0.0017452006980802626,0.006756756756756799,-0.012158054711246202,0.003984063745019917,0.0
nat_2004,0.258,0.0881,0.237,0.207,0.155,0.00804,0.0325,0.458,0.488,0.254,0.159,0.272,0.135,0.00108,0.0116,0.266,0.455,0.243,0.227,0.0109,0.0106,0.311,0.0657,0.111,0.247,0.236,0.572,0.3,0.321,0.253,0.0141,0.009163802978235935,0.01716738197424883,0.004854368932038833,0.0,0.06772908366533859,0.0,0.004385964912280604,-0.012145748987854255,0.0039525691699604515,0.0,0.007407407407407307,0.0,0.009345794392523477,0.0,0.007575757575757569,0.0022026431718060735,0.004132231404958775,0.0,0.0,-0.009345794392523255,0.0,0.0,0.009090909090909038,0.0,0.0,0.0,0.006711409395973256,-0.012307692307692353,0.003968253968253954,0.0
nat_2005,0.259,0.0889,0.242,0.207,0.155,0.00856,0.0325,0.46,0.482,0.255,0.159,0.274,0.135,0.00108,0.0115,0.268,0.455,0.244,0.227,0.0109,0.0104,0.311,0.0657,0.111,0.248,0.237,0.572,0.303,0.316,0.254,0.0141,0.009080590238365494,0.021097046413502074,0.0,0.0,0.06467661691542292,0.0,0.004366812227074135,-0.012295081967213073,0.003937007874015741,0.0,0.007352941176470562,0.0,0.0,-0.008620689655172376,0.007518796992481258,0.0,0.004115226337448652,0.0,0.0,-0.018867924528301883,0.0,0.0,0.0,0.004048582995951344,0.004237288135593209,0.0,0.010000000000000009,-0.015576323987538943,0.0039525691699604515,0.0
nat_2006,0.259,0.0897,0.246,0.208,0.154,0.00907,0.0325,0.462,0.476,0.257,0.159,0.276,0.135,0.00109,0.0115,0.27,0.456,0.245,0.227,0.0109,0.0103,0.311,0.0657,0.111,0.248,0.238,0.572,0.305,0.312,0.255,0.0141,0.008998875140607376,0.016528925619834656,0.004830917874396157,-0.006451612903225823,0.05957943925233655,0.0,0.004347826086956497,-0.012448132780083054,0.007843137254901933,0.0,0.007299270072992803,0.0,0.0092592592592593,0.0,0.00746268656716409,0.00219780219780219,0.004098360655737654,0.0,0.0,-0.009615384615384581,0.0,0.0,0.0,0.0,0.00421940928270037,0.0,0.0066006600660066805,-0.012658227848101222,0.003937007874015741,0.0
nat_2007,0.259,0.0905,0.25,0.208,0.154,0.00958,0.0325,0.464,0.47,0.258,0.159,0.279,0.135,0.00109,0.0115,0.272,0.457,0.247,0.227,0.0109,0.0102,0.311,0.0657,0.111,0.249,0.238,0.571,0.308,0.308,0.257,0.0141,0.008918617614269708,0.016260162601626105,0.0,0.0,0.05622932745314224,0.0,0.0043290043290042934,-0.012605042016806789,0.0038910505836575737,0.0,0.010869565217391353,0.0,0.0,0.0,0.007407407407407307,0.002192982456140413,0.008163265306122547,0.0,0.0,-0.009708737864077666,0.0,0.0,0.0,0.0040322580645162365,0.0,-0.0017482517482517723,0.009836065573770592,-0.012820512820512886,0.007843137254901933,0.0
nat_2008,0.26,0.0913,0.254,0.209,0.154,0.0101,0.0325,0.466,0.465,0.259,0.159,0.281,0.135,0.0011,0.0115,0.274,0.458,0.248,0.227,0.0109,0.0101,0.311,0.0657,0.111,0.249,0.239,0.571,0.31,0.304,0.258,0.0141,0.008839779005525017,0.016000000000000014,0.004807692307692291,0.0,0.05427974947807934,0.0,0.004310344827586299,-0.010638297872340274,0.003875968992248069,0.0,0.007168458781362075,0.0,0.00917431192660545,0.0,0.007352941176470562,0.002188183807439792,0.004048582995951344,0.0,0.0,-0.009803921568627527,0.0,0.0,0.0,0.0,0.004201680672268893,0.0,0.006493506493506551,-0.012987012987012991,0.0038910505836575737,0.0
nat_2009,0.26,0.0921,0.259,0.209,0.154,0.0106,0.0325,0.468,0.459,0.26,0.159,0.283,0.135,0.0011,0.0115,0.276,0.458,0.249,0.227,0.0109,0.00996,0.311,0.0657,0.111,0.25,0.239,0.571,0.313,0.299,0.259,0.0141,0.008762322015334112,0.019685039370078705,0.0,0.0,0.04950495049504955,0.0,0.0042918454935623185,-0.012903225806451646,0.0038610038610038533,0.0,0.007117437722419684,0.0,0.0,0.0,0.007299270072992803,0.0,0.0040322580645162365,0.0,0.0,-0.013861386138613763,0.0,0.0,0.0,0.004016064257028162,0.0,0.0,0.00967741935483879,-0.016447368421052655,0.003875968992248069,0.0
nat_2010,0.26,0.0929,0.263,0.21,0.154,0.0111,0.0325,0.47,0.453,0.261,0.16,0.285,0.135,0.0011,0.0115,0.278,0.459,0.25,0.227,0.0109,0.00984,0.311,0.0657,0.112,0.251,0.24,0.571,0.315,0.295,0.26,0.0141,0.008686210640608039,0.015444015444015413,0.004784688995215225,0.0,0.04716981132075482,0.0,0.004273504273504258,-0.013071895424836666,0.0038461538461538325,0.0062893081761006275,0.007067137809187329,0.0,0.0,0.0,0.007246376811594235,0.0021834061135370675,0.004016064257028162,0.0,0.0,-0.012048192771084376,0.0,0.0,0.009009009009008917,0.0040000000000000036,0.004184100418409997,0.0,0.006389776357827559,-0.013377926421404673,0.0038610038610038533,0.0
nat_2011,0.261,0.0907,0.265,0.21,0.154,0.0118,0.0337,0.473,0.451,0.262,0.16,0.285,0.135,0.00111,0.012,0.28,0.459,0.249,0.227,0.0109,0.00979,0.311,0.0657,0.112,0.25,0.24,0.573,0.315,0.292,0.261,0.0141,-0.023681377825618855,0.0076045627376426506,0.0,0.0,0.06306306306306309,0.036923076923076836,0.006382978723404209,-0.004415011037527616,0.003831417624521105,0.0,0.0,0.0,0.009090909090909038,0.04347826086956519,0.007194244604316502,0.0,-0.0040000000000000036,0.0,0.0,-0.005081300813008061,0.0,0.0,0.0,-0.003984063745019917,0.0,0.003502626970227629,0.0,-0.01016949152542379,0.0038461538461538325,0.0
nat_2012,0.261,0.0886,0.266,0.21,0.153,0.0125,0.0349,0.476,0.45,0.263,0.16,0.285,0.135,0.00111,0.0124,0.281,0.458,0.248,0.227,0.0109,0.00975,0.312,0.0657,0.113,0.25,0.24,0.575,0.315,0.289,0.262,0.0141,-0.023153252480705655,0.0037735849056603765,0.0,-0.006493506493506551,0.05932203389830515,0.035608308605341144,0.00634249471458781,-0.0022172949002217113,0.003816793893129722,0.0,0.0,0.0,0.0,0.033333333333333215,0.0035714285714285587,-0.002178649237472796,-0.004016064257028162,0.0,0.0,-0.0040858018386108474,0.003215434083601254,0.0,0.008928571428571397,0.0,0.0,0.003490401396160525,0.0,-0.010273972602739767,0.003831417624521105,0.0
nat_2013,0.262,0.0865,0.268,0.21,0.153,0.0132,0.036,0.48,0.448,0.264,0.16,0.285,0.136,0.00112,0.0129,0.283,0.458,0.247,0.227,0.0109,0.0097,0.312,0.0657,0.113,0.25,0.24,0.577,0.315,0.286,0.263,0.0141,-0.023702031602708895,0.007518796992481258,0.0,0.0,0.05599999999999983,0.03151862464183375,0.008403361344537785,-0.004444444444444473,0.0038022813688212143,0.0,0.0,0.007407407407407307,0.009009009009008917,0.040322580645161255,0.007117437722419684,0.0,-0.0040322580645161255,0.0,0.0,-0.00512820512820511,0.0,0.0,0.0,0.0,0.0,0.003478260869565153,0.0,-0.01038062283737029,0.003816793893129722,0.0
nat_2014,0.263,0.0844,0.269,0.21,0.153,0.0139,0.0372,0.483,0.446,0.265,0.16,0.285,0.136,0.00112,0.0133,0.285,0.458,0.246,0.227,0.0109,0.00966,0.312,0.0657,0.114,0.25,0.24,0.58,0.315,0.282,0.265,0.0141,-0.024277456647398776,0.003731343283582156,0.0,0.0,0.05303030303030298,0.03333333333333344,0.006250000000000089,-0.004464285714285698,0.0037878787878788955,0.0,0.0,0.0,0.0,0.03100775193798455,0.007067137809187329,0.0,-0.004048582995951455,0.0,0.0,-0.004123711340206171,0.0,0.0,0.008849557522123908,0.0,0.0,0.005199306759098743,0.0,-0.013986013986013957,0.0076045627376426506,0.0
nat_2015,0.263,0.0822,0.271,0.21,0.153,0.0146,0.0384,0.487,0.444,0.265,0.16,0.285,0.136,0.00112,0.0138,0.287,0.457,0.245,0.227,0.0109,0.00961,0.312,0.0657,0.115,0.249,0.24,0.582,0.315,0.279,0.266,0.0141,-0.026066350710900577,0.0074349442379182396,0.0,0.0,0.05035971223021596,0.032258064516129004,0.008281573498964745,-0.004484304932735439,0.0,0.0,0.0,0.0,0.0,0.03759398496240607,0.007017543859649145,-0.0021834061135370675,-0.004065040650406471,0.0,0.0,-0.005175983436852993,0.0,0.0,0.00877192982456143,-0.0040000000000000036,0.0,0.0034482758620688614,0.0,-0.010638297872340274,0.0037735849056603765,0.0
nat_2016,0.264,0.0822,0.272,0.21,0.152,0.0152,0.0397,0.487,0.444,0.266,0.16,0.285,0.136,0.00113,0.0146,0.288,0.457,0.244,0.227,0.0109,0.00951,0.313,0.0657,0.115,0.253,0.24,0.581,0.316,0.279,0.267,0.0141,0.0,0.0036900369003689537,0.0,-0.006535947712418277,0.041095890410958846,0.03385416666666674,0.0,0.0,0.0037735849056603765,0.0,0.0,0.0,0.008928571428571397,0.05797101449275366,0.0034843205574912606,0.0,-0.004081632653061273,0.0,0.0,-0.010405827263267553,0.0032051282051281937,0.0,0.0,0.016064257028112428,0.0,-0.0017182130584192379,0.0031746031746031633,0.0,0.003759398496240518,0.0
nat_2017,0.264,0.0822,0.275,0.211,0.151,0.0158,0.0424,0.49,0.444,0.267,0.16,0.285,0.137,0.00113,0.0153,0.29,0.457,0.244,0.227,0.0119,0.00942,0.313,0.0657,0.115,0.253,0.24,0.58,0.316,0.276,0.268,0.0141,0.0,0.011029411764705843,0.004761904761904745,-0.006578947368421018,0.03947368421052633,0.06801007556675076,0.006160164271047153,0.0,0.003759398496240518,0.0,0.0,0.007352941176470562,0.0,0.047945205479452024,0.00694444444444442,0.0,0.0,0.0,0.09174311926605516,-0.009463722397476282,0.0,0.0,0.0,0.0,0.0,-0.0017211703958691649,0.0,-0.010752688172043001,0.0037453183520599342,0.0
nat_2018,0.265,0.0822,0.277,0.211,0.151,0.0163,0.0451,0.49,0.444,0.268,0.16,0.285,0.136,0.00114,0.0153,0.292,0.457,0.244,0.227,0.0131,0.00932,0.313,0.0657,0.115,0.253,0.24,0.578,0.316,0.273,0.269,0.0141,0.0,0.0072727272727273196,0.0,0.0,0.03164556962025289,0.06367924528301883,0.0,0.0,0.0037453183520599342,0.0,0.0,-0.007299270072992692,0.008849557522123908,0.0,0.006896551724137945,0.0,0.0,0.0,0.10084033613445365,-0.010615711252653814,0.0,0.0,0.0,0.0,0.0,-0.0034482758620689724,0.0,-0.010869565217391353,0.003731343283582156,0.0
nat_2019,0.265,0.0822,0.279,0.212,0.151,0.0169,0.0478,0.49,0.444,0.269,0.16,0.285,0.136,0.00114,0.0153,0.294,0.456,0.244,0.227,0.0131,0.00922,0.313,0.0657,0.115,0.253,0.24,0.578,0.316,0.269,0.27,0.0141,0.0,0.0072202166064982976,0.004739336492890933,0.0,0.036809815950920255,0.05986696230598665,0.0,0.0,0.003731343283582156,0.0,0.0,0.0,0.0,0.0,0.006849315068493178,-0.002188183807439792,0.0,0.0,0.0,-0.010729613733905463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.014652014652014711,0.0037174721189590088,0.0
