site;year;count;count_rendements
4;2001;41713,0;-0,04099227515173809
4;2002;52052,0;0,24786037925826476
4;2003;45991,0;-0,11644125105663572
4;2004;29235,0;-0,36433215194277146
4;2005;33869,0;0,15850863690781591
4;2006;37435,0;0,10528802149458216
4;2007;36722,0;-0,019046347001469233
4;2008;46348,0;0,26213169217362897
4;2009;42426,0;-0,08462069560714591
4;2010;35296,0;-0,16805732333946166
4;2011;38504,0;0,09088848594741616
4;2012;42426,0;0,10185954706004563
4;2013;34226,0;-0,19327770706642156
4;2014;53122,0;0,552094898615088
4;2015;43496,0;-0,18120552690034264
4;2016;43496,0;0,0
5;1980;;0,0
5;1981;;0,0
5;1982;;0,0
5;1983;;0,0
5;1984;;0,0
5;1985;;0,0
5;1986;;0,0
5;1987;;0,0
5;1988;;0,0
5;1989;;0,0
5;1990;;0,0
5;1991;;0,0
5;1992;;0,0
5;1993;;0,0
5;1994;;0,0
5;1995;;0,0
5;1996;;0,0
5;1997;;0,0
5;1998;;0,0
5;1999;;0,0
5;2000;11202,0;-0,7424590766967077
5;2001;10530,0;-0,05998928762720945
5;2002;11650,0;0,10636277302943964
5;2003;9634,0;-0,17304721030042913
5;2004;11202,0;0,16275690263649567
5;2005;9410,0;-0,1599714336725585
5;2006;10306,0;0,09521785334750277
5;2007;13218,0;0,28255385212497575
5;2008;11314,0;-0,1440459978816765
5;2009;11314,0;0,0
5;2010;11314,0;0,0
5;2011;11314,0;0,0
5;2012;11426,0;0,009899239879795019
5;2013;11314,0;-0,009802205496236671
5;2014;11762,0;0,03959695951917985
5;2015;12546,0;0,06665533072606689
5;2016;11762,0;-0,06249003666507258
6;1980;;0,0
6;1981;;0,0
6;1982;;0,0
6;1983;;0,0
6;1984;;0,0
6;1985;;0,0
6;1986;;0,0
6;1987;;0,0
6;1988;;0,0
6;1989;;0,0
6;1990;;0,0
6;1991;;0,0
6;1992;;0,0
6;1993;;0,0
6;1994;;0,0
6;1995;176598,0;14,014283285155585
6;1996;256067,0;0,44999943374217155
6;1997;148342,0;-0,42069067861145715
6;1998;151874,0;0,02380984481805548
6;1999;123619,0;-0,1860423772337596
6;2000;100661,0;-0,18571578802611244
6;2001;123619,0;0,22807244116390657
6;2002;60043,0;-0,51428987453385
6;2003;100661,0;0,6764818546708193
6;2004;65341,0;-0,35088067871370243
6;2005;107725,0;0,6486585757793728
6;2006;104193,0;-0,032787189603156186
6;2007;144811,0;0,38983424990162496
6;2008;98895,0;-0,31707536029721495
6;2009;74171,0;-0,25000252793366706
6;2010;72405,0;-0,023809844818055592
6;2011;98895,0;0,3658587114149576
6;2012;100661,0;0,017857323423833282
6;2013;84767,0;-0,15789630542116606
6;2014;74171,0;-0,12500147463045763
6;2015;58277,0;-0,21428860336250022
6;2016;67107,0;0,15151775142852242
18;1980;;0,0
18;1981;;0,0
18;1982;;0,0
18;1983;;0,0
18;1984;;0,0
18;1985;;0,0
18;1986;;0,0
18;1987;;0,0
18;1988;;0,0
18;1989;;0,0
18;1990;;0,0
18;1991;;0,0
18;1992;;0,0
18;1993;;0,0
18;1994;;0,0
18;1995;;0,0
18;1996;;0,0
18;1997;;0,0
18;1998;;0,0
18;1999;;0,0
18;2000;;0,0
18;2001;;0,0
18;2002;;0,0
18;2003;;0,0
18;2004;;0,0
18;2005;;0,0
18;2006;;0,0
18;2007;;0,0
18;2008;;0,0
18;2009;;0,0
18;2010;;0,0
18;2011;18857,0;-0,7190009984055314
18;2012;16971,0;-0,10001590921143344
18;2013;12823,0;-0,2444169465558894
18;2014;11880,0;-0,07353973329174135
18;2015;11503,0;-0,031734006734006726
18;2016;12823,0;0,11475267321568294
24;1980;;0,0
24;1981;;0,0
24;1982;;0,0
24;1983;;0,0
24;1984;;0,0
24;1985;;0,0
24;1986;;0,0
24;1987;;0,0
24;1988;;0,0
24;1989;;0,0
24;1990;;0,0
24;1991;;0,0
24;1992;;0,0
24;1993;;0,0
24;1994;;0,0
24;1995;;0,0
24;1996;;0,0
24;1997;;0,0
24;1998;;0,0
24;1999;;0,0
24;2000;;0,0
24;2001;;0,0
24;2002;;0,0
24;2003;;0,0
24;2004;;0,0
24;2005;;0,0
24;2006;;0,0
24;2007;;0,0
24;2008;;0,0
24;2009;1424,0;-0,888949543788505
24;2010;1531,0;0,0751404494382022
24;2011;1945,0;0,2704114957544088
24;2012;1960,0;0,007712082262210762
24;2013;766,0;-0,6091836734693877
24;2014;1424,0;0,8590078328981723
24;2015;1501,0;0,0540730337078652
24;2016;1960,0;0,3057961359093937
7;1980;;0,0
7;1981;;0,0
7;1982;;0,0
7;1983;;0,0
7;1984;4954,0;1,5275510204081635
7;1985;5064,0;0,02220427937020597
7;1986;4734,0;-0,06516587677725116
7;1987;7376,0;0,5580904098014363
7;1988;7816,0;0,05965292841648595
7;1989;9578,0;0,2254350051177072
7;1990;11009,0;0,1494048861975361
7;1991;12880,0;0,1699518575710781
7;1992;13100,0;0,017080745341614856
7;1993;14862,0;0,13450381679389323
7;1994;15192,0;0,02220427937020597
7;1995;15743,0;0,036269088994207443
7;1996;16403,0;0,04192339452455052
7;1997;17284,0;0,05370968725233194
7;1998;17614,0;0,01909280259199253
7;1999;18385,0;0,0437719995458159
7;2000;18715,0;0,017949415284199022
7;2001;19265,0;0,029388191290408816
7;2002;19926,0;0,03431092655073975
7;2003;19706,0;-0,01104085114925224
7;2004;19816,0;0,005582056226530074
7;2005;20807,0;0,05001009285425928
7;2006;19375,0;-0,06882299226221944
7;2007;22128,0;0,14209032258064513
7;2008;22018,0;-0,004971077368040477
7;2009;21687,0;-0,015033154691615924
7;2010;22238,0;0,025406925808087788
7;2011;21357,0;-0,03961687202086517
7;2012;22678,0;0,06185325654352214
7;2013;20807,0;-0,08250286621395186
7;2014;23228,0;0,11635507281203439
7;2015;22458,0;-0,03314964697778544
7;2016;25761,0;0,14707453913972746
8;1980;;0,0
8;1981;;0,0
8;1982;;0,0
8;1983;;0,0
8;1984;;0,0
8;1985;;0,0
8;1986;;0,0
8;1987;;0,0
8;1988;;0,0
8;1989;;0,0
8;1990;;0,0
8;1991;;0,0
8;1992;;0,0
8;1993;;0,0
8;1994;;0,0
8;1995;;0,0
8;1996;;0,0
8;1997;;0,0
8;1998;;0,0
8;1999;;0,0
8;2000;141233,0;4,482434688094406
8;2001;127110,0;-0,09999787585054487
8;2002;114399,0;-0,09999999999999998
8;2003;115811,0;0,012342765233961828
8;2004;105925,0;-0,08536322111025718
8;2005;117224,0;0,10666981354732119
