year,count,count_rendements
1991,14325.0,-0.08571610926729645
1992,15589.0,0.08823734729493893
1993,15562.0,-0.0017319905061261576
1994,13245.0,-0.1488883176969541
1995,15589.0,0.1769724424311061
1996,14825.0,-0.04900891654371675
1997,11481.0,-0.22556492411467122
1998,14167.0,0.2339517463635572
1999,13772.0,-0.02788169690124942
2000,15562.0,0.1299738600058089
2001,14061.0,-0.09645289808507906
2002,14167.0,0.0075385818931796855
2003,12508.0,-0.11710312698524739
2004,12113.0,-0.03157978893508151
2005,13192.0,0.08907785024354009
2006,9927.0,-0.24749848392965434
2007,13851.0,0.39528558476881237
2008,17327.0,0.2509566096310736
2009,12482.0,-0.27962140012696945
2010,9269.0,-0.2574106713667681
2011,8400.0,-0.09375337145323115
2012,13930.0,0.6583333333333334
2013,8321.0,-0.40265613783201726
2014,15510.0,0.8639586588150463
2015,12113.0,-0.21901998710509352
2016,14351.0,0.184760175018575
