;Austria;Belgium;Bulgaria;Croatia;Cyprus;Czech Republic;Denmark;Estonia;Finland;France;Germany;Greece;Hungary;Iceland;Ireland;Italy;Latvia;Lithuania;Luxembourg;Malta;Netherlands;Norway;Poland;Portugal;Romania;Slovakia;Slovenia;Spain;Sweden;Switzerland;United Kingdom;Belgium_rendements;Bulgaria_rendements;Croatia_rendements;Cyprus_rendements;Czech Republic_rendements;Denmark_rendements;Estonia_rendements;Finland_rendements;France_rendements;Germany_rendements;Greece_rendements;Hungary_rendements;Iceland_rendements;Ireland_rendements;Italy_rendements;Latvia_rendements;Lithuania_rendements;Luxembourg_rendements;Malta_rendements;Netherlands_rendements;Norway_rendements;Poland_rendements;Portugal_rendements;Romania_rendements;Slovakia_rendements;Slovenia_rendements;Spain_rendements;Sweden_rendements;Switzerland_rendements;United Kingdom_rendements
2001;0,458;0,219;0,307;0,214;0,186;0,335;0,134;0,496;0,663;0,28;0,318;0,275;0,208;0,00304;0,091;0,279;0,504;0,312;0,336;0,0109;0,0869;0,314;0,291;0,355;0,268;0,388;0,597;0,341;0,533;0,291;0,122;0,0;0,009868421052631637;0,0;0,0;0,0029940119760478723;0,007518796992481258;0,004048582995951344;0,0;0,007194244604316502;0,0;0,0073260073260073;0,004830917874396157;0,048275862068965614;0,014492753623188248;0,0072202166064982976;0,003984063745019917;0,009708737864077666;0,0029850746268655914;0,0;0,004624277456647619;0,0;0,0034482758620688614;-0,002808988764044895;0,0037453183520599342;0,0;0,001677852348993314;0,008875739644970349;0,0;0,0034482758620688614;0,008264462809917328
2002;0,458;0,22;0,311;0,215;0,186;0,335;0,134;0,498;0,662;0,283;0,318;0,277;0,209;0,00318;0,0923;0,281;0,506;0,314;0,336;0,0109;0,0872;0,314;0,291;0,355;0,268;0,388;0,598;0,344;0,533;0,292;0,122;0,004566210045662045;0,013029315960912058;0,004672897196261738;0,0;0,0;0,0;0,0040322580645162365;-0,0015082956259426794;0,010714285714285454;0,0;0,0072727272727273196;0,004807692307692291;0,046052631578947345;0,014285714285714235;0,007168458781362075;0,003968253968253954;0,0064102564102563875;0,0;0,0;0,0034522439585729092;0,0;0,0;0,0;0,0;0,0;0,0016750418760469454;0,008797653958944052;0,0;0,0034364261168384758;0,0
2003;0,458;0,221;0,314;0,215;0,186;0,335;0,134;0,5;0,661;0,285;0,318;0,28;0,211;0,00333;0,0935;0,284;0,508;0,316;0,337;0,0109;0,0876;0,314;0,292;0,355;0,269;0,389;0,598;0,346;0,532;0,292;0,123;0,00454545454545463;0,009646302250803762;0,0;0,0;0,0;0,0;0,004016064257028162;-0,0015105740181269312;0,007067137809187329;0,0;0,010830324909747224;0,009569377990430672;0,047169811320754595;0,01300108342361872;0,010676156583629748;0,0039525691699604515;0,006369426751592355;0,0029761904761904656;0,0;0,004587155963302614;0,0;0,0034364261168384758;0,0;0,003731343283582156;0,002577319587628857;0,0;0,005813953488372103;-0,0018761726078799779;0,0;0,008196721311475308
2004;0,459;0,222;0,317;0,216;0,186;0,335;0,135;0,502;0,661;0,287;0,318;0,282;0,212;0,00347;0,0948;0,286;0,51;0,319;0,338;0,0109;0,0879;0,314;0,293;0,355;0,27;0,389;0,599;0,349;0,532;0,293;0,123;0,004524886877828038;0,009554140127388644;0,0046511627906977715;0,0;0,0;0,00746268656716409;0,0040000000000000036;0,0;0,007017543859649145;0,0;0,0071428571428568954;0,004739336492890933;0,04204204204204198;0,013903743315508033;0,007042253521126751;0,003937007874015741;0,009493670886076;0,0029673590504450953;0,0;0,0034246575342467;0,0;0,003424657534246478;0,0;0,0037174721189590088;0,0;0,0016722408026756952;0,00867052023121384;0,0;0,003424657534246478;0,0
2005;0,459;0,222;0,32;0,216;0,186;0,336;0,135;0,505;0,66;0,289;0,318;0,284;0,213;0,00362;0,0961;0,288;0,512;0,321;0,339;0,0109;0,0882;0,314;0,294;0,354;0,27;0,389;0,6;0,352;0,532;0,294;0,123;0,0;0,009463722397476282;0,0;0,0;0,0029850746268655914;0,0;0,005976095617529875;-0,001512859304084735;0,006968641114982521;0,0;0,007092198581560183;0,004716981132075526;0,043227665706051965;0,01371308016877637;0,006993006993007089;0,0039215686274509665;0,006269592476489061;0,002958579881656709;0,0;0,0034129692832762792;0,0;0,0034129692832765013;-0,0028169014084507005;0,0;0,0;0,0016694490818029983;0,008595988538681931;0,0;0,0034129692832765013;0,0
2006;0,459;0,223;0,324;0,216;0,186;0,336;0,135;0,507;0,66;0,291;0,318;0,287;0,215;0,00376;0,0974;0,29;0,514;0,323;0,339;0,0109;0,0886;0,314;0,295;0,354;0,271;0,39;0,6;0,355;0,532;0,295;0,124;0,0045045045045044585;0,012499999999999956;0,0;0,0;0,0;0,0;0,003960396039603964;0,0;0,006920415224913601;0,0;0,010563380281690238;0,009389671361502261;0,03867403314917128;0,013527575442247697;0,00694444444444442;0,00390625;0,006230529595015577;0,0;0,0;0,0045351473922903285;0,0;0,00340136054421758;0,0;0,0037037037037037646;0,0025706940874035134;0,0;0,008522727272727293;0,0;0,00340136054421758;0,008130081300812941
2007;0,46;0,224;0,327;0,217;0,186;0,336;0,136;0,509;0,659;0,293;0,319;0,289;0,216;0,0039;0,0987;0,292;0,516;0,325;0,34;0,0109;0,0889;0,314;0,296;0,354;0,271;0,39;0,601;0,358;0,532;0,296;0,124;0,004484304932735439;0,0092592592592593;0,004629629629629539;0,0;0,0;0,007407407407407307;0,0039447731755424265;-0,0015151515151514694;0,0068728522336769515;0,003144654088050425;0,006968641114982521;0,0046511627906977715;0,037234042553191404;0,013347022587268942;0,006896551724137945;0,0038910505836575737;0,006191950464396356;0,002949852507374562;0,0;0,003386004514672747;0,0;0,003389830508474523;0,0;0,0;0,0;0,0016666666666667052;0,008450704225352101;0,0;0,003389830508474523;0,0
2008;0,46;0,224;0,33;0,217;0,187;0,336;0,136;0,511;0,658;0,295;0,319;0,291;0,217;0,00405;0,0999;0,295;0,518;0,328;0,341;0,0109;0,0892;0,314;0,297;0,353;0,272;0,39;0,602;0,361;0,532;0,297;0,125;0,0;0,00917431192660545;0,0;0,005376344086021501;0,0;0,0;0,003929273084479323;-0,0015174506828528056;0,006825938566553003;0,0;0,006920415224913601;0,004629629629629539;0,03846153846153855;0,012158054711246313;0,010273972602739656;0,003875968992248069;0,009230769230769154;0,002941176470588225;0,0;0,003374578177727683;0,0;0,0033783783783782884;-0,0028248587570621764;0,0036900369003689537;0,0;0,0016638935108153063;0,008379888268156499;0,0;0,0033783783783782884;0,008064516129032251
2009;0,46;0,225;0,333;0,218;0,187;0,337;0,136;0,513;0,658;0,297;0,319;0,293;0,219;0,00419;0,101;0,297;0,52;0,33;0,342;0,0109;0,0896;0,314;0,297;0,353;0,273;0,391;0,602;0,364;0,531;0,298;0,125;0,0044642857142858094;0,009090909090909038;0,004608294930875667;0,0;0,0029761904761904656;0,0;0,00391389432485334;0,0;0,006779661016949268;0,0;0,0068728522336769515;0,009216589861751112;0,0345679012345681;0,011011011011011096;0,006779661016949268;0,0038610038610038533;0,0060975609756097615;0,0029325513196480912;0,0;0,004484304932735439;0,0;0,0;0,0;0,003676470588235281;0,002564102564102555;0,0;0,008310249307479145;-0,001879699248120259;0,0033670033670034627;0,0
2010;0,461;0,226;0,337;0,218;0,187;0,337;0,137;0,515;0,657;0,299;0,319;0,296;0,22;0,00434;0,103;0,299;0,522;0,332;0,342;0,0109;0,0899;0,314;0,298;0,353;0,273;0,391;0,603;0,367;0,531;0,299;0,126;0,004444444444444473;0,012012012012011963;0,0;0,0;0,0;0,007352941176470562;0,003898635477582957;-0,001519756838905817;0,006734006734006703;0,0;0,010238907849829282;0,004566210045662045;0,03579952267303099;0,019801980198019598;0,006734006734006703;0,0038461538461538325;0,0060606060606061;0,0;0,0;0,0033482142857141906;0,0;0,0033670033670034627;0,0;0,0;0,0;0,0016611295681063787;0,008241758241758212;0,0;0,003355704697986628;0,008000000000000007
2011;0,461;0,226;0,338;0,218;0,187;0,337;0,138;0,519;0,658;0,301;0,319;0,296;0,22;0,0044;0,103;0,301;0,523;0,333;0,342;0,0109;0,0895;0,314;0,299;0,354;0,277;0,391;0,603;0,367;0,531;0,3;0,126;0,0;0,0029673590504450953;0,0;0,0;0,0;0,007299270072992803;0,007766990291262044;0,0015220700152207556;0,006688963210702337;0,0;0,0;0,0;0,01382488479262678;0,0;0,006688963210702337;0,0019157088122605526;0,003012048192771122;0,0;0,0;-0,004449388209121219;0,0;0,003355704697986628;0,0028328611898016387;0,0146520146520146;0,0;0,0;0,0;0,0;0,0033444816053511683;0,0
2012;0,461;0,226;0,34;0,218;0,187;0,337;0,14;0,523;0,659;0,302;0,319;0,296;0,221;0,00447;0,104;0,302;0,523;0,333;0,342;0,0109;0,0891;0,315;0,3;0,355;0,28;0,391;0,603;0,367;0,531;0,301;0,127;0,0;0,00591715976331364;0,0;0,0;0,0;0,01449275362318847;0,007707129094412402;0,001519756838905817;0,0033222591362125353;0,0;0,0;0,00454545454545463;0,015909090909090873;0,009708737864077666;0,0033222591362125353;0,0;0,0;0,0;0,0;-0,004469273743016755;0,0031847133757962887;0,0033444816053511683;0,0028248587570620654;0,010830324909747224;0,0;0,0;0,0;0,0;0,0033333333333334103;0,007936507936507908
2013;0,462;0,226;0,342;0,218;0,187;0,338;0,142;0,526;0,66;0,304;0,319;0,296;0,221;0,00454;0,105;0,304;0,524;0,334;0,342;0,0109;0,0887;0,315;0,3;0,357;0,283;0,392;0,603;0,367;0,53;0,302;0,128;0,0;0,00588235294117645;0,0;0,0;0,0029673590504450953;0,014285714285714013;0,005736137667303964;0,0015174506828528056;0,0066225165562914245;0,0;0,0;0,0;0,015659955257270708;0,009615384615384581;0,0066225165562914245;0,0019120458891013214;0,0030030030030030463;0,0;0,0;-0,004489337822671136;0,0;0,0;0,005633802816901401;0,010714285714285454;0,002557544757033181;0,0;0,0;-0,0018832391713747842;0,0033222591362125353;0,007874015748031482
2014;0,462;0,226;0,344;0,218;0,187;0,338;0,144;0,53;0,661;0,305;0,319;0,296;0,221;0,00461;0,106;0,306;0,524;0,334;0,342;0,0109;0,0882;0,315;0,301;0,358;0,286;0,392;0,604;0,367;0,53;0,302;0,129;0,0;0,005847953216374213;0,0;0,0;0,0;0,014084507042253502;0,0076045627376426506;0,0015151515151514694;0,00328947368421062;0,0;0,0;0,0;0,015418502202643403;0,00952380952380949;0,006578947368421018;0,0;0,0;0,0;0,0;-0,005636978579481422;0,0;0,0033333333333334103;0,0028011204481792618;0,010600706713780994;0,0;0,0016583747927032544;0,0;0,0;0,0;0,0078125
2015;0,463;0,226;0,345;0,218;0,187;0,338;0,146;0,534;0,662;0,307;0,319;0,296;0,222;0,00468;0,107;0,308;0,525;0,335;0,342;0,0109;0,0878;0,315;0,301;0,359;0,289;0,392;0,604;0,367;0,529;0,303;0,13;0,0;0,0029069767441860517;0,0;0,0;0,0;0,01388888888888884;0,007547169811320753;0,001512859304084735;0,006557377049180246;0,0;0,0;0,004524886877828038;0,015184381778741818;0,009433962264151052;0,006535947712418277;0,001908396946564972;0,0029940119760478723;0,0;0,0;-0,0045351473922902175;0,0;0,0;0,0027932960893854997;0,010489510489510412;0,0;0,0;0,0;-0,0018867924528301883;0,0033112582781456013;0,007751937984496138
2016;0,463;0,226;0,346;0,218;0,187;0,339;0,146;0,534;0,662;0,308;0,319;0,296;0,221;0,00472;0,108;0,31;0,526;0,335;0,342;0,0119;0,0881;0,315;0,302;0,359;0,291;0,392;0,603;0,367;0,529;0,304;0,13;0,0;0,0028985507246377384;0,0;0,0;0,002958579881656709;0,0;0,0;0,0;0,0032573289902280145;0,0;0,0;-0,0045045045045044585;0,008547008547008517;0,009345794392523477;0,006493506493506551;0,0019047619047618536;0,0;0,0;0,09174311926605516;0,003416856492027165;0,0;0,0033222591362125353;0,0;0,006920415224913601;0,0;-0,0016556291390728006;0,0;0,0;0,0033003300330032292;0,0
2017;0,464;0,226;0,347;0,219;0,187;0,339;0,146;0,538;0,662;0,31;0,319;0,296;0,221;0,00479;0,11;0,311;0,526;0,336;0,342;0,0131;0,0883;0,316;0,302;0,359;0,291;0,393;0,602;0,367;0,529;0,305;0,13;0,0;0,0028901734104045396;0,004587155963302836;0,0;0,0;0,0;0,0074906367041198685;0,0;0,006493506493506551;0,0;0,0;0,0;0,01483050847457612;0,0185185185185186;0,003225806451612856;0,0;0,0029850746268655914;0,0;0,10084033613445365;0,002270147559591429;0,0031746031746031633;0,0;0,0;0,0;0,0025510204081633514;-0,0016583747927031434;0,0;0,0;0,00328947368421062;0,0
2018;0,464;0,226;0,348;0,22;0,187;0,339;0,146;0,538;0,662;0,311;0,319;0,296;0,221;0,00486;0,11;0,313;0,527;0,337;0,342;0,0144;0,0885;0,316;0,303;0,359;0,291;0,393;0,601;0,367;0,529;0,306;0,13;0,0;0,0028818443804035088;0,004566210045662045;0,0;0,0;0,0;0,0;0,0;0,003225806451612856;0,0;0,0;0,0;0,014613778705636626;0,0;0,006430868167202508;0,0019011406844107182;0,0029761904761904656;0,0;0,09923664122137388;0,0022650056625139747;0,0;0,0033112582781456013;0,0;0,0;0,0;-0,0016611295681062677;0,0;0,0;0,003278688524590123;0,0
2019;0,464;0,226;0,35;0,22;0,187;0,339;0,146;0,538;0,662;0,313;0,319;0,296;0,221;0,00492;0,111;0,315;0,527;0,337;0,342;0,0144;0,0887;0,316;0,303;0,359;0,291;0,393;0,6;0,367;0,529;0,307;0,131;0,0;0,005747126436781658;0,0;0,0;0,0;0,0;0,0;0,0;0,006430868167202508;0,0;0,0;0,0;0,012345679012345734;0,009090909090909038;0,006389776357827559;0,0;0,0;0,0;0,0;0,00225988700564983;0,0;0,0;0,0;0,0;0,0;-0,0016638935108153063;0,0;0,0;0,0032679738562091387;0,007692307692307665
