year;Austria;Belgium-Brussels;Belgium-Wallonia;Bulgaria;Cyprus;Czech Republic;Denmark;Estonia;Finland;France;Germany East;Germany West;Greece;Hungary;Italy;Latvia;Lithuania;Luxembourg;Netherlands;Norway;Poland;Portugal;Republic of Ireland;Romania;Slovakia;Slovenia;Spain;Sweden;Austria_rendements;Belgium-Brussels_rendements;Belgium-Wallonia_rendements;Bulgaria_rendements;Cyprus_rendements;Czech Republic_rendements;Denmark_rendements;Estonia_rendements;Finland_rendements;France_rendements;Germany East_rendements;Germany West_rendements;Greece_rendements;Hungary_rendements;Italy_rendements;Latvia_rendements;Lithuania_rendements;Luxembourg_rendements;Netherlands_rendements;Norway_rendements;Poland_rendements;Portugal_rendements;Republic of Ireland_rendements;Romania_rendements;Slovakia_rendements;Slovenia_rendements;Spain_rendements;Sweden_rendements
2007;10521749,0;3003448,0;21691982,0;2166995,0;2775060,0;4809135,0;1545587,0;15411946,0;4614774,0;19285150,0;16387430,0;1931168,0;13378947,0;3714835,0;5423582,0;3300063,0;16754864,0;3700850,0;8752943,0;;4031698,0;6534653,0;845761,0;;11201691,0;14434,0;1004675,0;19154802,0;0,023255847878429492;0,022900633368151402;0,0;0,04716961529112784;0,0;-0,10156260946420892;0,007091925929642473;-0,09708735247649214;0,008403262185888272;0,0;0,1170212475900867;0,08256851933654574;-0,016000010590967895;0,029126259315876313;-0,010638282347361305;-0,051020478587117224;0,18260868583192935;-0,05494512790550399;0,07619055815837794;;0,062499802347583566;0,2359549010436477;;;;0,3499812944257388;0,05682731430639176;0,0
2008;10163053,0;2936207,0;20824303,0;2186518,0;2695011,0;4892772,0;1502049,0;15909105,0;4576318,0;19020970,0;15294935,0;1865705,0;12726316,0;3609698,0;5481900,0;3193610,0;15276493,0;3184453,0;8288185,0;1880089,0;4370497,0;6356436,0;1048743,0;;11873793,0;14968,0;951847,0;18286287,0;-0,03409091017092314;-0,022387935466170905;-0,03999998709200481;0,009009250136710056;-0,02884586279215584;0,017391277225530244;-0,028169232789872045;0,03225802893417873;-0,008333235820432328;-0,013698623033785107;-0,06666664632587294;-0,03389813832872124;-0,04878044587514996;-0,028301929964587913;0,010752672311398648;-0,03225786901644001;-0,08823533273681006;-0,13953470148749614;-0,05309734108859154;;0,08403382396201309;-0,027272603457291433;0,23999924328504152;;0,06000004820700733;0,036995981709851744;-0,05258217831637102;-0,04534189390211396
2009;9923922,0;2779310,0;19739704,0;2245085,0;2641644,0;4600043,0;1469396,0;15246226,0;4422492,0;20606051,0;14358510,0;1767510,0;12400000,0;3469516,0;5598536,0;3264579,0;15030098,0;3528718,0;8133265,0;1767284,0;3218583,0;6297030,0;1040286,0;87306,0;10305556,0;22346,0;872563,0;17983326,0;-0,023529445334979582;-0,05343526529294429;-0,05208332783094827;0,026785510112425248;-0,019802145519999703;-0,05982886592712677;-0,021738971231963777;-0,041666643095259026;-0,033613485776119556;0,0833333420955924;-0,06122451648209026;-0,052631578947368474;-0,025641041759453365;-0,03883482773351121;0,02127656469472261;0,022222187430525286;-0,016129029090642732;0,1081080486978454;-0,018691667717359084;-0,0599998191574973;-0,2635659056624453;-0,009345803214254045;-0,008063939401740994;;-0,13207548758850685;0,4929182255478355;-0,08329489928528433;-0,016567660783186833
2010;9923922,0;2846552,0;22125822,0;2206040,0;2721694,0;4809135,0;1545587,0;14749066,0;4768600,0;22719492,0;15763147,0;1882071,0;13161404,0;3574653,0;5190309,0;3193610,0;14783703,0;3270519,0;7823427,0;1729682,0;3692900,0;6178218,0;1463166,0;114876,0;13666063,0;12723,0;944167,0;19828144,0;0,0;0,024193774713867855;0,12087911753894587;-0,017391323713801476;0,030303099130692956;0,04545435770926498;0,05185191738646355;-0,03260872559543593;0,07826085383534886;0,10256409634238017;0,09782609755469052;0,06481490910942522;0,06140354838709672;0,03030307397343024;-0,0729167410908852;-0,02173909713932487;-0,016393439350827932;-0,07317076626695584;-0,03809515612733627;-0,02127671613617277;0,14736826734000652;-0,01886794250622914;0,4065035961264498;0,3157858566421552;0,3260869185515076;-0,4306363554998658;0,0820616964047296;0,10258491671674075
2011;9565226,0;2600000,0;21258143,0;2440310,0;2881794,0;5812781,0;1545587,0;15080506,0;5345447,0;21794861,0;15294935,0;1865705,0;12726316,0;3434470,0;4782083,0;3193610,0;14660506,0;3743884,0;7358669,0;1748483,0;3692900,0;6594059,0;1167150,0;105686,0;11313708,0;14220,0;825879,0;19023505,0;-0,036144580741364174;-0,08661426174543796;-0,03921567298155071;0,10619481061086833;0,05882365908878806;0,2086957425815661;0,0;0,022471931442980875;0,1209677892882608;-0,04069769693794212;-0,02970295208184004;-0,008695739958800686;-0,033057871333483924;-0,039215834376091885;-0,07865157931830258;0,0;-0,008333297821256247;0,14473696682392;-0,05940593553183282;0,010869628058799208;0,0;0,06730759581484502;-0,20231197280417945;-0,07999930359692187;-0,17213113974375793;0,11766092902617298;-0,12528292134760055;-0,040580651421535
2012;10521749,0;2756897,0;21908902,0;2479355,0;2828427,0;6314604,0;1534703,0;16074825,0;5576186,0;22587402,0;15763147,0;2078461,0;12943860,0;3714835,0;5656854,0;3867816,0;15646086,0;3872983,0;7591048,0;1936492,0;4472136,0;6000000,0;997998,0;118322,0;9409421,0;25019,0;916515,0;20440721,0;0,10000004181814415;0,06034500000000009;0,030612222337576656;0,01600001639136006;-0,01851867274343688;0,08633096619329028;-0,007041984695782211;0,06593406083323727;0,043165520114594624;0,03636366389306178;0,030612225550484595;0,11403517705103439;0,01709402783963565;0,08163268277201441;0,18292677061439555;0,21111093715262674;0,06722687470678035;0,03448263888517911;0,03157894450749188;0,10752692476849934;0,2110092339353895;-0,09009003407461169;-0,14492738722529241;0,11956172056847647;-0,16831678880169088;0,759423347398031;0,10974488998993803;0,07449815373139712
2013;10641314,0;2600000,0;20607383,0;2596490,0;2828427,0;5478232,0;1523818,0;15909105,0;5768468,0;21662771,0;13734227,0;1865705,0;12073684,0;3434470,0;5656854,0;3371032,0;14906901,0;3528718,0;7126290,0;1673279,0;4133338,0;6000000,0;972625,0;57438,0;11313708,0;51962,0;870858,0;19589060,0;0,011363605043229974;-0,05691072245354112;-0,059405943757473545;0,04724414212567374;0,0;-0,13245042761192938;-0,007092577521513932;-0,010309287970475589;0,034482709149228574;-0,04093569503920813;-0,12871287694011857;-0,10236227670377263;-0,0672269323061282;-0,07547172350858111;0,0;-0,1284404428752557;-0,04724408391977397;-0,08888884872461356;-0,06122448441901562;-0,13592258578914862;-0,07575753510179473;0,0;-0,025423898645087428;-0,5145619580466861;0,202380890386348;1,0769015548183383;-0,04981587862719106;-0,041664919745247775
2014;10282618,0;2510345,0;20607383,0;2850282,0;2721694,0;5394595,0;1578240,0;15743385,0;5306991,0;21794861,0;14358510,0;1931168,0;11312281,0;3434470,0;5831808,0;3335548,0;14414111,0;3442652,0;7823427,0;1955293,0;3828419,0;6118812,0;1285557,0;83859,0;11201691,0;48006,0;808810,0;19646281,0;-0,033707867280300174;-0,0344826923076923;0,0;0,09774426244661072;-0,037735815702508835;-0,015267151884038488;0,035714238839546386;-0,01041667648808653;-0,07999992372324849;0,006097557879368276;0,045454542144963916;0,035087540634773484;-0,06306302202376668;0,0;0,030927791312980624;-0,010526153415333916;-0,03305784347799723;-0,024390160959305907;0,09782607780486052;0,1685397354535616;-0,07377064251701648;0,019802000000000097;0,3217396221565352;0,45999164316306285;-0,00990099797519961;-0,07613255840806743;-0,07124927370478307;0,0029210692090380075
2015;10521749,0;2487931,0;21041223,0;2655057,0;2908477,0;5018228,0;1491165,0;14914786,0;5922294,0;22851582,0;13734227,0;1947534,0;11312281,0;3399424,0;5598536,0;3193610,0;13921321,0;3227486,0;7823427,0;1616877,0;;5108911,0;1192523,0;72372,0;10081522,0;58805,0;813079,0;20154615,0;0,023255847878429492;-0,008928653232922135;0,021052648946253916;-0,06849322277585168;0,06862747979750838;-0,06976742461667651;-0,055172217153284686;-0,052631565575001815;0,1159419716370349;0,04848486989662382;-0,04347825784151693;0,008474664037515067;0,0;-0,010204194533654398;-0,03999994512850902;-0,04255312770195485;-0,03418802588657743;-0,06250007261843482;0,0;-0,17307687390074022;0,0;-0,16504854210261732;-0,07236863087362133;-0,13697993059778912;-0,09999999107277646;0,22495104778569353;0,005278124652266847;0,025874311784505277
2016;11119576,0;2241379,0;20607383,0;2733147,0;2801744,0;4725498,0;1458512,0;15246226,0;5576186,0;;14202439,0;1865705,0;10333333,0;3434470,0;6648261,0;3229094,0;13921321,0;2969287,0;8133265,0;1880089,0;;5643564,0;1133320,0;67777,0;9185387,0;;772881,0;19646281,0;0,056818215298616304;-0,09909921135272637;-0,02061857335954287;0,029411797938801332;-0,03669721300873274;-0,05833333997578427;-0,02189764378858139;0,022222243081462922;-0,05844154309124139;0,0;0,03409088840602381;-0,0420167247401072;-0,08653851508815946;0,010309393591384941;0,18749991069093785;0,011110937152626565;0,0;-0,08000003718064153;0,0396038718070737;0,16279036686154846;0,0;0,10465106947449265;-0,04964516407649999;-0,06349140551594534;-0,08888886023360365;0,0;-0,04943923038228759;-0,02522171720968125
