year;Austria;Belgium-Brussels;Belgium-Wallonia;Bulgaria;Cyprus;Czech Republic;Denmark;Estonia;Finland;France;Germany East;Germany West;Greece;Hungary;Italy;Latvia;Lithuania;Luxembourg;Netherlands;Norway;Poland;Portugal;Republic of Ireland;Romania;Slovakia;Spain;Sweden;Austria_rendements;Belgium-Brussels_rendements;Belgium-Wallonia_rendements;Bulgaria_rendements;Cyprus_rendements;Czech Republic_rendements;Denmark_rendements;Estonia_rendements;Finland_rendements;France_rendements;Germany East_rendements;Germany West_rendements;Greece_rendements;Hungary_rendements;Italy_rendements;Latvia_rendements;Lithuania_rendements;Luxembourg_rendements;Netherlands_rendements;Norway_rendements;Poland_rendements;Portugal_rendements;Republic of Ireland_rendements;Romania_rendements;Slovakia_rendements;Spain_rendements;Sweden_rendements
2005;5817523,0;4086869,0;10960429,0;2529768,0;5710521,0;980738,0;2368087,0;4582052,0;7405886,0;17805359,0;3938459,0;913369,0;10314951,0;1674112,0;2355796,0;581564,0;837762,0;422083,0;1131371,0;;1479086,0;1796884,0;;;;998664,0;16812518,0;-0,03658527093334185;0,10185190926833565;0,039370101887473474;0,10204092301124357;0,0;;0,05319132376571445;0,03124998593356776;0,05504586371777331;-0,098360619211464;0,10400023097769728;0,05769215180609333;0,012048189224770356;-0,06000041550367752;;-0,14179169452031948;0,2068976942857761;-0,1700673450326894;;;0,1399998766806121;0,01886813849789748;;;;0,0519173140223832;0,04062638182656375
2006;5117947,0;4052525,0;10462227,0;2436073,0;6754379,0;951316,0;2320247,0;4211785,0;7534684,0;18938427,0;3653063,0;880156,0;10069357,0;1513825,0;2096658,0;601793,0;825794,0;404784,0;1233194,0;;1479086,0;1713695,0;;;;927564,0;15837479,0;-0,12025324180067698;-0,008403499108975643;-0,04545460766179865;-0,03703699311557418;0,18279558029818999;-0,029999857250356365;-0,020201960485404458;-0,08080811828412249;0,017391301999517772;0,06363634678750363;-0,07246387483023187;-0,03636317851821114;-0,023809516884762738;-0,0957444902133191;-0,11000018677338785;0,03478378991822062;-0,014285680181244764;-0,04098482999789144;0,08999965528548981;;0,0;-0,04629625507267021;;;;-0,07119511667587897;-0,05799482266725309
2007;5964802,0;4086869,0;10296160,0;2717158,0;6078941,0;961123,0;2487688,0;4304352,0;7470285,0;17967226,0;3767221,0;913369,0;10314951,0;1620683,0;2544259,0;556279,0;905580,0;498196,0;1414214,0;;1414214,0;1913348,0;1175551,0;;6682547,0;987230,0;15638667,0;0,1654677158634117;0,008474716380528102;-0,015873006769973497;0,11538447328959345;-0,10000001480521004;0,010308877386693727;0,07216516172631615;0,021978092423996065;-0,00854700741265324;-0,05128203097332218;0,031249940118744268;0,03773535600507172;0,02439023663576534;0,0705880798639209;0,2134830764006337;-0,07563065705317273;0,09661731618297065;0,23076999090873151;0,14678955622554124;;-0,043859518648678986;0,11650439547294011;;;;0,06432548050592746;-0,012553260528396004
2008;6259360,0;3640404,0;10628295,0;2553191,0;6324555,0;1039582,0;2487688,0;4720902,0;7727881,0;18290959,0;3681603,0;963189,0;10806139,0;1674112,0;2473585,0;652363,0;993346,0;460140,0;1210567,0;1175054,0;1388265,0;1780246,0;1645772,0;;6214769,0;1048146,0;16055312,0;0,04938269535183237;-0,10924377561404586;0,03225814284160311;-0,06034503698349525;0,040404076960115276;0,08163263182755998;0,0;0,09677414858264388;0,03448275400469991;0,018017973392219888;-0,022727097773133087;0,054545315201194766;0,047619033769525476;0,03296696516221864;-0,027777832366909228;0,17272627584359657;0,0969168930409241;-0,07638760648419496;-0,14400013010760748;;-0,018348708187021168;-0,06956497197582456;0,40000051039895324;;-0,06999995660337288;0,06170395956362751;0,026641976582786775
2009;6443459,0;3915152,0;9880993,0;2623463,0;6570169,0;980738,0;2392007,0;4674619,0;7470285,0;18452826,0;3767221,0;871852,0;10192154,0;1691922,0;2591375,0;500651,0;1085101,0;498196,0;1086116,0;1269059,0;1375291,0;1763608,0;1422417,0;66839,0;6682547,0;886442,0;15989997,0;0,02941179289895457;0,07547184323498168;-0,07031250073506612;0,02752320527528096;0,03883498522820972;-0,0566035194914879;-0,03846181675515581;-0,009803846807241445;-0,033333329019947344;0,008849563327980814;0,023255630767358593;-0,0948277025588955;-0,05681816604431977;0,010638475800902158;0,04761914387417443;-0,23255764045477745;0,09236962750139432;0,0827052636154213;-0,1028038927213446;0,08000057869680877;-0,009345477988712547;-0,009345899386938639;-0,13571442459830407;;0,07526876702899177;-0,1542762172445442;-0,004068123995348061
2010;5891162,0;4018182,0;10296160,0;2740582,0;6508765,0;1000353,0;2368087,0;4813469,0;7212689,0;21204564,0;3710142,0;946583,0;10314951,0;1745351,0;2096658,0;581564,0;981378,0;536253,0;1063489,0;1081050,0;1323393,0;1580592,0;1974926,0;75953,0;7484453,0;1008176,0;16733567,0;-0,08571436552944622;0,026315708815392025;0,04201672848062943;0,044642901386449996;-0,009345878317589706;0,020000244713674897;-0,009999970735871555;0,029702955470809478;-0,03448275400469991;0,1491228498008923;-0,015151486997975416;0,08571523607217735;0,012048189224770356;0,031578878931771026;-0,19090907336838547;0,16161557651937186;-0,09558833693822055;0,07638961372632469;-0,020832949703346593;-0,1481483524406667;-0,037736013687285075;-0,10377362769957954;0,38842969396456883;0,13635751582160127;0,120000053871675;0,13732878180411134;0,04650219759265739
2011;5743883,0;3400000,0;10462227,0;2904548,0;6877186,0;970931,0;2320247,0;4998602,0;7083891,0;20557096,0;3110811,0;929976,0;9823763,0;1709732,0;2520701,0;571450,0;973399,0;543172,0;1120057,0;1069299,0;1258521,0;1547316,0;1445928,0;74434,0;8820962,0;896146,0;15546079,0;-0,02499999151271004;-0,15384619213365647;0,016129022859007636;0,059828897657504765;0,05660382576418099;-0,029411617698952286;-0,020201960485404458;0,038461450567148114;-0,017857140381347336;-0,030534369864902655;-0,16153856105777087;-0,017544156191269034;-0,047619033769525365;-0,020407929407895598;0,20224709990852108;-0,01739103520850671;-0,008130404390561008;0,012902491920791181;0,05319095919186756;-0,010869987512140966;-0,04901945227154747;-0,02105287132922351;-0,2678571247732826;-0,019999210037786486;0,1785713665380757;-0,11112147085429525;-0,07096442736925124
2012;6222540,0;3331313,0;9797959,0;2904548,0;6692976,0;1137656,0;2392007,0;5091169,0;7599083,0;20880830,0;3396207,0;979796,0;10069357,0;1816590,0;2190890,0;692820,0;1053186,0;591608,0;1074802,0;975295,0;1414214,0;1430852,0;1657528,0;97980,0;5279212,0;916515,0;16581049,0;0,08333334784152124;-0,020202058823529434;-0,06349202707989421;0,0;-0,02678566495075163;0,1717166307389506;0,03092774174473667;0,018518577794351287;0,07272726246070138;0,01574804145488251;0,09174327852126019;0,053571274957633364;0,024999992365450918;0,06249985377825307;-0,13084098431349056;0,21238953539242278;0,08196741521205597;0,08917249048183629;-0,04040419371514126;-0,08791180016066602;0,12371108626713423;-0,07526840024920567;0,14634200319794632;0,31633393341752436;-0,4015151635388521;0,022729555228723886;0,06657434327974276
2013;6406639,0;3400000,0;10130093,0;2927972,0;6938589,0;1098426,0;2320247,0;4767186,0;7856679,0;20718963,0;3082272,0;929976,0;9823763,0;1709732,0;2143774,0;637192,0;953452,0;581229,0;1142685,0;916542,0;1388265,0;1414214,0;1598750,0;47091,0;6081118,0;875585,0;16216082,0;0,029585828295197736;0,020618596931600175;0,03389828432635822;0,008064593871404346;0,03669712845227591;-0,03448318296567676;-0,029999912207614776;-0,06363626899833807;0,0338983006239042;-0,007751942810702461;-0,09243694509786948;-0,050847319237882216;-0,02439023663576534;-0,05882339988660068;-0,02150541560735586;-0,08029213937241997;-0,0946974228673757;-0,017543711376451943;0,06315860967880593;-0,06024126033661614;-0,018348708187021168;-0,011628037001730429;-0,035461241077073824;-0,5193815064298837;0,15189880610969975;-0,044658298009306985;-0,022011092301819968
2014;6774836,0;3537374,0;10794362,0;3536990,0;7307010,0;1216115,0;2487688,0;5461436,0;8114275,0;21366430,0;3224970,0;979796,0;10314951,0;1834400,0;2190890,0;702934,0;1097069,0;553551,0;1210567,0;998796,0;1479086,0;1514041,0;1575239,0;72156,0;8486835,0;946492,0;16779861,0;0,05747116389732598;0,04040411764705887;0,065573830368586;0,20799993989013554;0,053097394873799164;0,10714331233965702;0,07216516172631615;0,14563098649811446;0,03278688107277894;0,031249971342677707;0,04629636839318518;0,053571274957633364;0,04999998473090206;0,07291669103695786;0,021978062986117042;0,10317455335283565;0,15062845324148455;-0,047619784972876444;0,059405697983258676;0,08974384152608383;0,06542050689169576;0,07058832680202576;-0,014705863956215759;0,5322673122252659;0,3956043937973248;0,08098242889039908;0,034766659418717705
2015;7253493,0;3709091,0;10711328,0;3513566,0;7675431,0;1196500,0;2463767,0;5877986,0;8178674,0;20880830,0;3396207,0;1021313,0;10192154,0;1870019,0;2638491,0;702934,0;1212760,0;550092,0;1301077,0;1057549,0;;1580592,0;1763327,0;55446,0;7952231,0;936884,0;17847487,0;0,07065218995707045;0,04854363717265975;-0,0076923490244259485;-0,006622580216511742;0,05042021291882737;-0,016129231199352057;-0,009615755673541004;0,07627114919958777;0,007936506958415857;-0,022727240816551975;0,053097238113842815;0,04237310623844137;-0,011904758442381369;0,019417248146532895;0,20430099183436878;0,0;0,10545462500535518;-0,0062487467279437325;0,07476661762628578;0,05882382388395624;0,0;0,0439558770205033;0,11940283347479341;-0,23158157325794115;-0,0629921519624218;-0,010151168736766913;0,06362543766006157
2016;7768970,0;3812121,0;11458630,0;4122584,0;7736834,0;1216115,0;2559448,0;6711086,0;7148290,0;;3538905,0;1013009,0;10192154,0;2030306,0;2921187,0;687763,0;1160898,0;657342,0;1368959,0;1233807,0;;1514041,0;1810349,0;78992,0;8420010,0;976181,0;18171544,0;0,07106603673568035;0,02777769539760544;0,0697674462027491;0,17333330297481253;0,007999941631942287;0,016393648140409445;0,03883524700184715;0,14173221916486356;-0,12598423656450908;0,0;0,042016873529793664;-0,008130710174060307;0,0;0,08571410237008292;0,10714306018098974;-0,02158239607132395;-0,04276361357564562;0,19496738727340146;0,052173699173838184;0,16666650906955605;0,0;-0,042105109984107214;0,02666663642081124;0,4246654402481693;0,05882361817708759;0,041944360240969036;0,018157010003705176
